activity_instance_id,attendance_count,program_name,fiscal_year,activity_name,activity_category,activity_label,service_site_name,school,service_site_address,start_date,end_date,days_of_week,time,total_program_days
3536052,9,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Safavi),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-09,2019-05-09,Th,11:15 AM-3:30 PM,0
3527068,4,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Shafer),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-01-24,2019-01-24,Th,11:15 AM-3:30 PM,0
3420508,12,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Shafer),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-08-30,2018-08-30,Th,11:30 AM-3:30 PM,0
3429906,17,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Shah),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-09-06,2018-09-06,Th,11:30 AM-3:30 PM,0
3474121,12,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Skate Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-10-18,2018-10-18,Th,11:30 AM-3:30 PM,0
3473499,24,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-10-04,2018-10-04,Th,11:30 AM-3:30 PM,0
3454339,8,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-12-21,2018-12-21,F,9:00 AM-4:00 PM,0
3440566,29,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-09-13,2018-09-13,Th,11:15 AM-3:30 PM,0
3474149,18,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-11-08,2018-11-08,Th,11:30 AM-3:30 PM,0
3528219,17,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-04-04,2019-04-04,Th,11:15 AM-3:30 PM,0
3526992,10,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-03-07,2019-03-07,Th,11:15 AM-3:30 PM,0
3480978,5,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-02-21,2019-02-21,Th,11:30 AM-3:30 PM,0
3488181,8,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-01-31,2019-01-31,Th,11:30 AM-3:30 PM,0
3535966,13,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-02,2019-05-02,Th,11:15 AM-3:30 PM,0
