Participant_ID,Activity_Instance_ID,Activity_Attendance
47283620,3420417,1
47333793,3474515,6
47343704,3499320,1
47343704,3526992,1
47343704,3527022,1
47343704,3528332,1
47343704,3528375,1
47343704,3535885,1
47343704,3535966,1
47343704,3538008,1
47343704,3620656,1
47346915,3499367,1
47346915,3526992,1
47346915,3527068,1
47346915,3528219,1
47346915,3535966,1
47346915,3620656,1
47363253,3475642,1
47400264,3474515,1
47411254,3480978,1
47411254,3499380,1
47433624,3476388,1
47433636,3420417,1
47433658,3499380,1
47433658,3535966,1
47433659,3621424,3
47440447,3527022,1
47440470,3417059,1
47444510,3474515,8
47513499,3420417,1
47577793,3421146,2
47577793,3621415,1
47577793,3621419,6
47600251,3538008,1
47627212,3420417,1
47627212,3527022,1
47685963,3538008,1
47728952,3527022,1
47745654,3526992,1
47745654,3535966,1
47793648,3528332,1
47814984,3474515,6
47835429,3535966,1
47878255,3528332,1
47878255,3538008,1
48068072,3535966,1
