Program_Name,Fiscal_year,Activity_Name,Activity_category,Activity_Instance_ID,Activity_Label,Service_site_name,School,Service_Site_Address,Start_date,End_date,Days_of_week,Time,Total_program_days
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3499367,Surf Field Trip (Mufti),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-02-14,2019-02-14,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3499320,Surf Field Trip (Penrose),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-02-28,2019-02-28,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3538029,Surf Field Trip (Pritchard),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-23,2019-05-23,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3724210,Surf Field Trip (Pritchard),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-09-26,2019-09-26,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3755818,Surf Field Trip (Pugao),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-11-21,2019-11-21,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3528375,Surf Field Trip (Safavi),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-04-25,2019-04-25,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3536052,Surf Field Trip (Safavi),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-09,2019-05-09,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3527068,Surf Field Trip (Shafer),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-01-24,2019-01-24,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3420508,Surf Field Trip (Shafer),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-08-30,2018-08-30,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3682143,Surf Field Trip (Shafer),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-09-05,2019-09-05,Th,11:15 AM-3:30 PM,0
